block_number,block_timestamp,txid,out_btc,fee_btc,n_input_addresses,n_traced_in_label_range,n_patoshi_minted,patoshi_fraction,n_traced_above_label_range,n_untraced_already_circulating
25468,2009-10-20 22:30:46.000000 UTC,837453f2c50bf10e28c115b844344720cd76766fd14d44586b40a5d8e6cb33d8,5049.76,0.12,101,17,5,0.2941,84,0
25552,2009-10-21 22:47:23.000000 UTC,b76d8d9fe2082040018456b13825cd835cc703f870528b45cf0d36dc6a268961,899.76,0,18,2,0,0.0000,16,0
25618,2009-10-22 15:40:54.000000 UTC,1aae9d58e8826aa65ce985061a78642ec2d920e8a8bb1679aae35f7d496d25b4,11950,0,39,0,0,,38,1
25788,2009-10-24 20:23:33.000000 UTC,5d79327054118bfc51475b82319d11e041e23b581d36a4ff47302b95380a735e,12250,0,7,0,0,,6,1
25969,2009-10-27 11:44:30.000000 UTC,3cd9410fc4642ce3e4591f5f5600965bf5b104c81160d204afb2d9169c5b4ce8,13000,0,16,0,0,,15,1
26079,2009-10-29 02:41:32.000000 UTC,03ebe95eb46ad1768f322516153779eb1fbae4b23fb2a88ee59a7b472e11cb33,500,0,10,0,0,,10,0
26112,2009-10-29 22:19:15.000000 UTC,28c0959d3b71fda237462e0bacd9c77e079d9557d8ed4d2b7e92c435dd42730d,1550,0,31,0,0,,31,0
26402,2009-11-04 22:02:42.000000 UTC,6029e51c4706c8b12bfdc9bab2311cc99d7fd5ccca3701bff4af2935c4a89215,15500,0,41,0,0,,40,1
26814,2009-11-11 01:26:23.000000 UTC,1043eb5c8b85764358f21127ed51de772db594222d650be07b45f3a9c68bdc78,15500,0,1,0,0,,0,1
26814,2009-11-11 01:26:23.000000 UTC,9a12dc4ca6c7868e7320e6b916dc52046d148775c939481805bf3e063ac71f72,1000,0,20,0,0,,20,0
26815,2009-11-11 01:28:38.000000 UTC,6b85ad8bd569e29a4587a8f15ce22ef3e0372da2d1f9b160dabdaa50e9981c25,1000,0,20,0,0,,20,0
26816,2009-11-11 01:42:08.000000 UTC,0b8f2d77c16afaa08435d71cd31467e62011cc39fe1d1318959bc74f1ad5b064,11500,0,1,0,0,,0,1
26816,2009-11-11 01:42:08.000000 UTC,a40d0843b9868a26792e952851a082442eace99f2c384f0ed6ca991612fd2f60,12500,0,1,0,0,,0,1
26816,2009-11-11 01:42:08.000000 UTC,b34d15d7b7e6c2a4333fe13f354de1d715b7d8d00ec86b4cf0f8d24bfa71a2e1,13500,0,1,0,0,,0,1
26816,2009-11-11 01:42:08.000000 UTC,c6dbae4c8ca97a746030b390441cdfc750218a20b07d29b56f07b157cdc0bbd3,14500,0,1,0,0,,0,1
26817,2009-11-11 02:03:14.000000 UTC,214f42239036b95ba5dd94f9969b4b4eb8485de51a458fe76cabe95b510b4468,10500,0,1,0,0,,0,1
26817,2009-11-11 02:03:14.000000 UTC,e67c7cef9c59167046bee99a961a4ca75137c5ed4b697b30dc6e752ff1d50ecc,10000,0,11,0,0,,10,1
26941,2009-11-13 00:49:39.000000 UTC,01d4ca1bc310d225db9da4ebddaf31713ec8b1fb6a287eec56416911275ef68a,50,0,1,0,0,,1,0
26943,2009-11-13 01:10:06.000000 UTC,6d3bd5104e1b23217ecaae4e5b1168ee1933b24250d23d741b42910d534af546,50,0,2,0,0,,1,1
26946,2009-11-13 03:07:35.000000 UTC,da68e3c8be72c67502cb7245119fcddc540f9dadeb16bc1021fb57a329eab8bb,500,0,10,0,0,,10,0
27525,2009-11-19 20:38:17.000000 UTC,f2e5fdd316163507300b815797b6a4c0247a3053ae760a091c20779ba9999a65,21850,0,68,0,0,,67,1
27528,2009-11-19 21:29:21.000000 UTC,67fc73c770d5001be14f65c95f2f37e04e26c3f8c6a49519d2e63c594ea26756,22500,0,14,0,0,,13,1
28507,2009-12-01 21:45:59.000000 UTC,442a16294926b83e8ac67727a69ef970f426c2100fb5cc6b596aa239c2a61077,10049.78,0.22,165,127,26,0.2047,37,1
28775,2009-12-05 18:16:34.000000 UTC,011ec07a1045414826985452669b45735ce9c4c991ff2fd18edfae54ff993d22,900,0,18,0,0,,18,0
28811,2009-12-06 03:28:30.000000 UTC,a131c7a34180592c257414d902a35fd468b557e984617358343373c5599ce244,50,0,1,0,0,,1,0
28817,2009-12-06 06:01:57.000000 UTC,591eba1f8e27727e14a9aa3695e6e005990069df06c827fd72ff05aa61723108,90,0,2,0,0,,1,1
29016,2009-12-08 01:52:13.000000 UTC,1b95c5519f32f4e4d6c6e60af6660c2b17a92e0c54fa0c8b71932c283cdb2e91,1000,0,20,0,0,,20,0
29073,2009-12-08 14:11:35.000000 UTC,1b1dbad5485b04f40b8151bad90139d4f86a07fdbd5523b35a979094b0b8f017,500,0,10,0,0,,10,0
29126,2009-12-09 02:32:16.000000 UTC,4c5e40e37810adb4ec7f01d038b508d6611afdbf21f8cf8ef589a0fe5f0b3e91,50,0,1,0,0,,1,0
29129,2009-12-09 03:33:30.000000 UTC,10ee48008377e49aaaad29b6f5191bc27a9902580e05d7f459cb3c6a712fe785,49,0,1,0,0,,1,0
29129,2009-12-09 03:33:30.000000 UTC,70f38f3ac235f65698e8c8c2589b9f0156d7700d12417dc916e6f2bf4ba12a7e,1900,0,7,0,0,,6,1
29131,2009-12-09 04:12:00.000000 UTC,dc6900d101f333abfc7e268fc5e3b066a47cd30b68a2db63adcaae16ae75cccb,48,0,1,0,0,,1,0
29136,2009-12-09 05:48:33.000000 UTC,46d80f9f88e57bdbc22ce772989a99ab9ef2d77ec8cd6024291c1f3dd66542ce,1,0,1,0,0,,0,1
29168,2009-12-09 13:27:44.000000 UTC,52110eb34fb9ba3a59da77eca549a76ef546f4e9a09f8cfbe4dc06a553103d22,47,0,1,0,0,,1,0
29169,2009-12-09 13:36:10.000000 UTC,bcdac13fb8d753c140084789623741a39332a727312742d341cd7093b5d68053,1,0,1,0,0,,0,1
29169,2009-12-09 13:36:10.000000 UTC,e9cd4e54298b6b4e819e54763a99a7834d1e6d4ab6f556137d2b32e4e5eaa3ef,187,0,4,0,0,,4,0
29170,2009-12-09 13:42:52.000000 UTC,73af85f4e35ef55387f5952e24b2825044ba3fb64046f997179f9f8d9cfd4878,1,0,1,0,0,,0,1
29170,2009-12-09 13:42:52.000000 UTC,ba8199d3cfef3e591ee38cdb8a1961b8571c4a8305f8179de873e1ef7a80ae39,1,0,1,0,0,,0,1
29188,2009-12-09 18:58:58.000000 UTC,f55976467adc0f60def8f429eb5dda7c5f4c3d73e1d5d75dca302d434e840551,10,0,1,0,0,,0,1
29208,2009-12-09 23:00:25.000000 UTC,41b3713ad25f4111f3a60f59a16f4c16fa3caaa12333b6e911ccec66e8b970b1,50,0,1,0,0,,1,0
29209,2009-12-09 23:11:23.000000 UTC,9a553aaf24a06a0922ffbbc8d1fe11f2db11ae6ee430c5bb8d1802157facdf1e,10,0,1,0,0,,0,1
29430,2009-12-12 00:11:10.000000 UTC,7bfa5a4a5d0ba60497f4c61b9ab3b289017cf5f9f9eb68c558614388f0383be6,3000,0,60,0,0,,60,0
29431,2009-12-12 00:15:15.000000 UTC,ff4e84bca11c213cbc26104b075945d2744a34ea0d335e8c50a357bb3e63f37b,2200,0,7,0,0,,6,1
29664,2009-12-14 03:28:09.000000 UTC,3a5769fb2126d870aded5fcaced3bc49fa9768436101895931adb5246e41e957,15954.35,0,320,0,0,,319,1
29668,2009-12-14 04:07:41.000000 UTC,ec7ec389613dd485cf8786021afd547536f18c4aa131c50954d4df2353bb6f97,15954.35,0,1,0,0,,0,1
29703,2009-12-14 13:35:22.000000 UTC,afd13735576f1f5a93e1e1231685bbda40ad7f8f8aa233344cf5e405231be758,50,0,1,0,0,,1,0
29704,2009-12-14 13:53:09.000000 UTC,6b1b98a3c9323ea3ce49e2bfe8ec158ed094908ecb5cfeb7575683ecdcb84849,399,0,8,0,0,,8,0
29713,2009-12-14 16:08:04.000000 UTC,2ce7e90dacc612b8025b8affd30d2ef3af05de2eb5e10b0bdb44a42359c8efc9,188,0,2,0,0,,0,2
29775,2009-12-15 03:42:13.000000 UTC,66416b1cf7130aaff13e8a60bf0d0f7e66375bf7978ae032790102bf227ef7b9,5450,0,6,0,0,,5,1
29854,2009-12-15 21:27:36.000000 UTC,4ce766e5207a85563906e1e4993bd864fbb9829fd03aca034b204fdf5a8330a0,9,0,1,0,0,,0,1
29869,2009-12-16 01:10:08.000000 UTC,6cb614b795fb24de282dba7ce1fd99a6b7f9430dfa073322ab80484e4beaaf63,850,0,17,0,0,,17,0
30066,2009-12-17 10:58:13.000000 UTC,dd9d5ba0bd1da328936a5341efc0baddf18341bfd38f296e3484e4db0777d057,50,0,1,0,0,,1,0
30104,2009-12-17 15:50:10.000000 UTC,8ee3d560b0a606350ed009d728ae96f8d63df77e77c00ab3bb19d0373fde1ebd,200,0,6,2,1,0.5000,0,4
30153,2009-12-17 22:12:02.000000 UTC,016eb2a1fb23e79e81d7debe15ee7f5e639492cf0e978ff135d745657991c190,49.5,0,1,0,0,,1,0
30423,2009-12-19 04:08:37.000000 UTC,d484de0cc076ea2ed20b3f2274ff0e41ac017137b4163685c7892a140dd5f9f2,50,0,1,0,0,,1,0
30768,2009-12-21 00:07:48.000000 UTC,5f48126704eaad62f39c1f0191818b61a74e7c971bce080a3d760898014d4e55,50,0,1,0,0,,1,0
31465,2009-12-25 06:51:47.000000 UTC,ee7871de12728150cd2a213c897c3b9c00e183062e28677204cc1fcf1c86aa69,50,0,1,0,0,,1,0
31753,2009-12-27 02:41:34.000000 UTC,9843d685c90a2053dc80600ffd03f076da831502eec65cb3a152d7ee57a6120d,250,0,5,0,0,,5,0
