block_number,block_timestamp,txid,out_btc,fee_btc,n_input_addresses,n_traced_in_label_range,n_patoshi_minted,patoshi_fraction,n_traced_above_label_range,n_untraced_already_circulating
2812,2009-02-03 04:47:39.000000 UTC,8f5db6d157f79f2649719d5c3ff12eb5502edf098dbfb69d6ce58363e6ff293f,49.98,0,1,0,0,,0,1
2812,2009-02-03 04:47:39.000000 UTC,a64be218809b61ac67ddc7f6c7f9fbebfe420cf75fe0318ebc727f060df48b37,49.99,0,1,0,0,,0,1
2813,2009-02-03 04:53:54.000000 UTC,0ba27c495fd6d3a678c0e8cecee6e08ad81c6e34bf11ec87d6dceb8ab6b0fe2f,49.95,0,1,0,0,,0,1
2813,2009-02-03 04:53:54.000000 UTC,2a6ede103277e9aa503d4a61058fd497fa06a362802086c64361ca10b4e3a803,49.97,0,1,0,0,,0,1
2813,2009-02-03 04:53:54.000000 UTC,2bbeef72df21dade6fefe225c729feb0747e9759952c0e4b17f2c596e2296ff1,49.96,0,1,0,0,,0,1
2813,2009-02-03 04:53:54.000000 UTC,8debdb1723672a7bc8be053b03fa52360ba730d1c4d71270da806203a1f36c38,49.94,0,1,0,0,,0,1
2813,2009-02-03 04:53:54.000000 UTC,a87e31b0e252fecc4a487e054fbcbd2545ea8a110747ef875a59b2e3780101db,34.94,0,1,0,0,,0,1
2817,2009-02-03 05:16:42.000000 UTC,5b62efcc5b069ab78504483869b71a9cddff63eb123bafeadd4da13c1c2902c2,32.92,0.01,1,0,0,,0,1
2817,2009-02-03 05:16:42.000000 UTC,65f75ac62da749585c152f0ffed3c3482687699ccba81582561590c4e16306c9,32.93,1,1,0,0,,0,1
2817,2009-02-03 05:16:42.000000 UTC,f8bf1e886d6ba6e4927acf861cf5ab3e62af2d50a6b011427f0369fa3e058eb2,33.93,1,1,0,0,,0,1
2914,2009-02-03 22:55:58.000000 UTC,d85a3b216f8d8fb27c83d340649966e0b1ae3124bcd8373ffb6284dd775c49e8,50,0,1,1,0,0.0000,0,0
2915,2009-02-03 23:04:52.000000 UTC,66ac54c1a3196e839c32c7700fbd91ee37b1ed4a53332e491bf5ddcd3901d0b1,50,0,1,0,0,,0,1
2922,2009-02-03 23:48:49.000000 UTC,5c98e15fd2f37006e411d0d8fc7a7b41149678caff0ee06e2fd3bad5621b17fb,50,0,1,1,0,0.0000,0,0
3307,2009-02-07 02:31:07.000000 UTC,277951bc92bc86ed75ae4baa2ac5e7d1f3ecd2c951819796ad7d04cda431f430,800,0,16,16,3,0.1875,0,0
3309,2009-02-07 02:54:26.000000 UTC,3015186be9276f543d8e3e639c16d7627227307aadd2c588d2aa43c98ac2a1b3,150,0,3,3,0,0.0000,0,0
3309,2009-02-07 02:54:26.000000 UTC,d4aef5bf687ad1e45389c353b55a60073247f43a01532b17c90f20afe9963f05,50,0,1,1,0,0.0000,0,0
3309,2009-02-07 02:54:26.000000 UTC,ff21c5c13081bf836295237b908fcf0c0c28acbd2149f64cc37efb0025cbea9b,198,0,4,4,0,0.0000,0,0
3510,2009-02-08 15:51:40.000000 UTC,92f55c2c0b8317eafad83c73487fbeceb8279d0eb57e398763298e6cc983b356,1000,0,1,0,0,,0,1
3645,2009-02-09 17:30:34.000000 UTC,cec658ace2eb9fe79473a0161ea726a69924fdc17d59c39d7c58f44c36d034c1,2200,0,44,44,7,0.1591,0,0
3883,2009-02-11 12:28:34.000000 UTC,6552f912925b21c02b43f7d55ea0d76cb64dbe0ae31ceac97b97ae41aa9d0878,350.04,0,10,7,2,0.2857,0,3
3936,2009-02-11 23:32:48.000000 UTC,3800f07be0bf44a9a409f9273f14e086d314519a21e7b83e81e46b6b4ec188d0,200,0,4,4,0,0.0000,0,0
4406,2009-02-15 16:53:32.000000 UTC,dc6846136494d63c92a895dd0dda5fd83e4deaaf1eff1cfc5a640935f64a7548,250,0,5,5,0,0.0000,0,0
4408,2009-02-15 17:07:30.000000 UTC,87553c376c32aaaffe46ebe6368a975809962ddc166859c5330bed5d822c467d,100,0,2,2,1,0.5000,0,0
4409,2009-02-15 17:27:21.000000 UTC,44e2654e3d0de45d6c3195d4d77a12318b13547b9cd0160b96babaf0c00a6f50,550,0,6,4,0,0.0000,0,2
4540,2009-02-16 18:57:34.000000 UTC,c1c590ef9400b8dc52335328eaf59844ab98b953ab60c57ea3612bd893208bf4,1500,0,30,30,5,0.1667,0,0
