block_number,block_timestamp,txid,input_count,output_count,in_btc,out_btc,fee_btc,outputs_btc,out_addresses,in_addresses
2817,2009-02-03 05:16:42.000000 UTC,65f75ac62da749585c152f0ffed3c3482687699ccba81582561590c4e16306c9,2,2,33.93,32.93,1,1.00000000 | 31.93000000,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2817,2009-02-03 05:16:42.000000 UTC,f8bf1e886d6ba6e4927acf861cf5ab3e62af2d50a6b011427f0369fa3e058eb2,1,2,34.93,33.93,1,1.00000000 | 32.93000000,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm | 1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm
2914,2009-02-03 22:55:58.000000 UTC,d85a3b216f8d8fb27c83d340649966e0b1ae3124bcd8373ffb6284dd775c49e8,1,2,50,50,0,19.00000000 | 31.00000000,1GtkM4wviwohP192tec9g83hd9X5qtbk9j | 1KKQHhasw82cjLidcrEFmcXavtXcja3qdH,1KKQHhasw82cjLidcrEFmcXavtXcja3qdH
2915,2009-02-03 23:04:52.000000 UTC,66ac54c1a3196e839c32c7700fbd91ee37b1ed4a53332e491bf5ddcd3901d0b1,1,2,50,50,0,19.01000000 | 30.99000000,1CHE5JRfc5mr8ZtVUP7nnsS5HC4bWcXoc6 | 18jANvQ6AuVGJnea4EhmXiAf6bHR5qKjPB,18jANvQ6AuVGJnea4EhmXiAf6bHR5qKjPB
2922,2009-02-03 23:48:49.000000 UTC,5c98e15fd2f37006e411d0d8fc7a7b41149678caff0ee06e2fd3bad5621b17fb,1,2,50,50,0,0.02000000 | 49.98000000,13UPd24YLT8n9obxESWxVskCFpJidWd459 | 1ExF15z6YxFrNZHcnH2sYohbKBh47b1aow,1ExF15z6YxFrNZHcnH2sYohbKBh47b1aow
3307,2009-02-07 02:31:07.000000 UTC,277951bc92bc86ed75ae4baa2ac5e7d1f3ecd2c951819796ad7d04cda431f430,16,1,800,800,0,800.00000000,1P2ZAuW9nUrFfwgVjfL2SA9sPXSruCfzp8,1GQ8YiKA5LdmHtFHpboma5CFKoYe27oxN4 | 1FQ1ScppkG8TScu7w23NBezrT8x8Cpsp9r | 1Hxk7aoayHWXVzBhk2NjoVpJP78Rs5c8Qc | 1QFxxoqmVTz7FvbTbX59YXR8ftDV337iBQ | 1C4cG3RbuTbsuYxrujm9QMniLD56ECgEtg | 1J4kd4pf6S8ehW7fZqp7d8aMKmx9uABjU2 | 1AYdT9tPwhLFHLPCvf2TU3WD2vmaFdMN8H | 16fv7QfK5dw2J7Kg964CMHWNzsF4xrTsAE | 1599xy7gkakVhX3RqXbHMKqnUW3RLeJ5FZ | 1HaLjSasu5XUGUgRLed7xCpKw7SnYz8KD | 1M6GpfJhMPKpxqFYsSUNPxSSMDNAP7xEDQ | 1BeN1XRx8U47qkhXXT8YbGdzR8NNHAbLRB | 1EPdNxgmzWjxZTyoFM4qHECT5J8t1WbeiD | 13whfwQ7kyKMnKcMjw28ftYkUo94YD3Qdr | 1EQFwQgRJKrfvUFhbAJa7pMZq5Tn3UqaTo | 16jDUSyef27eC876RZ1zURqcwv5X2vF86E
3309,2009-02-07 02:54:26.000000 UTC,3015186be9276f543d8e3e639c16d7627227307aadd2c588d2aa43c98ac2a1b3,3,1,150,150,0,150.00000000,1NBNWXmmMCi9ZSNeC6jwCYVw5gKYpfqUZi,1JSnYFMbMbAB9hCT78WWAP32Hhc6EaVBSJ | 19H1kGT38pPTxPSZbc3qrS7VSkACMY4hmj | 1BHmtnv7XQbYEKtBLdBx3tHGQJ9sXPrGsL
3309,2009-02-07 02:54:26.000000 UTC,d4aef5bf687ad1e45389c353b55a60073247f43a01532b17c90f20afe9963f05,1,2,50,50,0,2.00000000 | 48.00000000,19huNZcrTUiHeZCjYhkXTYTx2K48j8h7ka | 1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ,1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ
3309,2009-02-07 02:54:26.000000 UTC,ff21c5c13081bf836295237b908fcf0c0c28acbd2149f64cc37efb0025cbea9b,4,1,198,198,0,198.00000000,1E87cVPLZ938w7vYEA1e9RWSc8mESPA3J5,1JjFysiU2h8TmkuTYxQfRhXMSeKwi3dHKQ | 1Bwuz8F4U4cZvsHopezPHaCkxvAJjXiPsv | 1Ej46bsDk7PdQe86QpjrUPCksmxStzL3dx | 15ujSgyjRLp3vgiwiN4CLgYDfC1TJRhTa3
3510,2009-02-08 15:51:40.000000 UTC,92f55c2c0b8317eafad83c73487fbeceb8279d0eb57e398763298e6cc983b356,1,1,1000,1000,0,1000.00000000,1PZwWEJe5YGx9bzJbEpgXiWLuWnyD2rjLA,17afxUJouat3fkaaQ9tZrDThxdkXGL4WrM
3645,2009-02-09 17:30:34.000000 UTC,cec658ace2eb9fe79473a0161ea726a69924fdc17d59c39d7c58f44c36d034c1,44,1,2200,2200,0,2200.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,18KvkdfPUYRZZG2vzp2Lt6rRnMysSYwg8Y | 1BW5eBrsK2Jp8X4s45Tvmm9Xfdu8c2LyFR | 1Ku3tvX5LZ3DzVP7M2u1PF4fJXsFK7jh75 | 1wffbGR9H6H9A4L1s2UfE1MoPeLV3eeC5 | 18WaG41yAQAJ1W5wt6bR2MSGwwKP76EVAo | 1QHZQergVWYfQUYQ4DEhosgCdf6MBU9QqF | 17EnRMKdTB1fCrDpnbhL8NxfKibpS8hKxq | 143vizLj7Qg7SH5YYQkL3KTZVceGtFfEA3 | 1CaeMUQN2wvpKEXVYxoxePCqAYjoZhDegK | 1LQXPwEyy2KAL7WMhhcHhF7gPZdheEBvmX | 1K4wWYkkNLYpZEDqZw9bRWgVSTS2pATRfM | 1CPECS9iDQWPRfwqyYsiKLe9Hmq4vdjn7Z | 1MU6n4QANYDrgZ3ZrMmSnubJ7sBW4e6tgn | 1G99p3ivRm1NXxFRauY8B2WQWdPzoKyBDW | 1C55T1K1jRAXMzJ2hoB5kzYwUVhQRytNuE | 15sSq5hQU7ToXgnpPncNgnLy5GaXSzvphd | 1CdbbQutoTUeNiH7J55feFsqsi4AaY1bJM | 1HWPb8CAT6NPudimHQEDVzJTrdZSZETHwH | 1BwwMnnixq7H6fp6aKmLLRasGkwJc935AP | 15CMgUkRtUyGdnK9zXYt4nmxp3qqZJ2W2L | 1ExbsJ2tt685LRJvZd3XhGVgXPbFrvc4yj | 1L2dE82Qwzrq2aqXQGD18hMZyFLXsM9EG7 | 1EXKj5nbs4FymLLJAvjDMk4ea9nreGDUoC | 12ZjYzK3ebPKPeJ7Hw8PyZ3A42S4fRc9Sr | 1CHvbFZGnvV12AokFAtc71WxMCJynAmVjz | 13cbKDYKmFnJ9FCpyRuuU1v1Ms5ndnYgx8 | 1BKZHuMctGcAaVEcmewiLBNE4kkwQqMQVn | 19wvVXPqmssgkyXpk6V1Gyr5J6Q7B7WrYL | 1ADPHabNSJACDTM5CfXMqFZkN4S6rLYQz1 | 1MFjSnxx2bKwPSA7ijgqaACCeFuQJanZmj | 1HccZ6tKrQ4aEYyaJ5fZWJ2XnFaU1Cyfrw | 126jEcDoSWgGm1XAAWNMG8DPMsZARS9AJE | 1C68iAZGXpdif64QFDFmSzqyWHoc2cf1v8 | 199qY9G9AYPermPtzPFjEfigZJJ1sABjfp | 18uR9o1HdAmggGSzNPteSZvYEGRQATU1SQ | 1NuY9u2EG2F8J1Mtpk1fBFp2tZcVkVBDZZ | 1MATWhVc8qAZyb6XMnjPmPyx18eFDg7gw8 | 1EhSSKmasBhDbWiuwhAGB9L4AU9h9ZhA36 | 1EYfPtzz4iXFXpXip5oDV48RkurxuYiXXZ | 15BvVdALyhVemgxHbaWGHWPaAgn5H7qmPm | 1N1n61cKZLAZ7UzKr55jMcZ2xV8JPdk1Ce | 1FwSmy4jxBevXNjQq6PGV8GpeFx8Fwmk29 | 1Cv6DzT7opgc12qKeaXgBYW2g9uxA8YPNv | 1AzAh89xHABMMJFr4C7Pp6iFtfMneQBbiL
3883,2009-02-11 12:28:34.000000 UTC,6552f912925b21c02b43f7d55ea0d76cb64dbe0ae31ceac97b97ae41aa9d0878,10,1,350.04,350.04,0,350.04000000,1JSxDnLYD4XKTQ73N7in2M9XRovw5LANiu,1Fmjwt8172FZT5XdKnzTUcEEzc1T2MCg2a | 1L6gcb5NaXUMT19bBUMrzEWXh24bg6ZuxD | 15awJKFXytdjdK9fw2So1rXkpqHetYJ9m6 | 1CbAopr7sNMKjsJa8dAS6P5sM788kmMooo | 19Vc3ZbCA6UQqWfY5CqJHPHDSK3LMAaKYD | 1NyTe72c6HfyUqeAkRNM298fg2JnJCfJda | 1BJhbhBP2ukfAoSCKDHJu2VVv2NCLjUnNf | 1EpWZ62CYvxw3K9gG7Wv48QZ5md5B7Hrtm | 14UZTYQzKZ4LHDP5bxD94aApWtmHRVibod | 13UPd24YLT8n9obxESWxVskCFpJidWd459
3936,2009-02-11 23:32:48.000000 UTC,3800f07be0bf44a9a409f9273f14e086d314519a21e7b83e81e46b6b4ec188d0,4,1,200,200,0,200.00000000,1JCeMgVeDzLdxz3G5vRin2ydNxUp6E5yFf,1PVsczT6YHsaoeXDdkUGiPYVyvzRZkvhw8 | 1MXwHZReY4GmH2jzyWU4wL1Szmaq9ZxaCB | 12xHgpw4n8Rsqj81CqLEFV5SyBF747dbXd | 13ru42wAiKYb1n9QDJER6BGrFWvLqreP8d
4406,2009-02-15 16:53:32.000000 UTC,dc6846136494d63c92a895dd0dda5fd83e4deaaf1eff1cfc5a640935f64a7548,5,1,250,250,0,250.00000000,13u3u1tRYmrm11nZG7bbCkp6QaWKMa5tCq,1G4nNVTcyGUbKdaumRMWYQLutJ16oqEsB5 | 1KW6LBxsFm5ifJs1pvvenMsYhVJmJ4vhKX | 1JDpR14QZzvQE4rU6F7GcqeDFZEXwLqpVy | 15vY2SV4xxxbbnQsHM26tiWSHM623a3uKq | 1NXcksMx7G1UjZEZLpa68Zew8nL7RPxrkD
4408,2009-02-15 17:07:30.000000 UTC,87553c376c32aaaffe46ebe6368a975809962ddc166859c5330bed5d822c467d,2,1,100,100,0,100.00000000,1MkPGMTj2GWkAnNdaSuHjxVkNinigt7mBT,1KSc4ovVdWsVgh41QWHDsnGa15xyQ1WYGi | 12jBk6eaF69zdW49kaZjteCrNiJcKrq8zC
4409,2009-02-15 17:27:21.000000 UTC,44e2654e3d0de45d6c3195d4d77a12318b13547b9cd0160b96babaf0c00a6f50,6,1,550,550,0,550.00000000,15BKWJjL5YWXtaP449WAYqVYZQE1szicTn,13CmHLef7xsSmshnLytsWNE7J1fQSPVCGZ | 13u3u1tRYmrm11nZG7bbCkp6QaWKMa5tCq | 1MkPGMTj2GWkAnNdaSuHjxVkNinigt7mBT | 16GEmWE6dM3p4THTsjhebno9HtfH3neuXP | 1PWZUkjSpSTVhBSUyMX8ZQnL8SvM6Cxvxf | 1NkKrBN2S7WwXkv2nkz9QumtCXBsZ9Ve5T
4540,2009-02-16 18:57:34.000000 UTC,c1c590ef9400b8dc52335328eaf59844ab98b953ab60c57ea3612bd893208bf4,30,1,1500,1500,0,1500.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1A9VNjdMGHdMRhaHNj8zwRNLoutbDysvoU | 1JRokdd7vjQjJU6gWeqQd3QNMTpr9pCmob | 16v4C8CxEGRJhWhu5gpBGi3NzDeTZyimzV | 1oc5RYrBd7zuUTqwgvvAYoz1NkxbJsAHH | 1r51ebw3j1oMM9jy87PkosAcQmqv1Jcqi | 1KS6qFZR4VWZ7tLJJzFoUxtCF1U4ktBV9e | 1Bridk59gmc6ZGLE62nVfMFJUx4R5zFuzN | 1F95HJVyhXFoKe4xkryTERjXWRsXNQDjZU | 1LGV8iEtahEVrGd9EccpnLvwHRcq7PeNRq | 1Nv25yWTUfiAo1pZbWyRy4Vg4AWvQ6A89H | 1Xm9ohWg4MiPQREEfuvr11Tr5tn6Kopsi | 13RbuajUiB5ara9m9fb12xywUGYk1y2tmq | 1DpSTVaPp4HLFk8FyD768ywKwGy9QWAWS3 | 16CYRdprMULhCfTxHEQdnXHzfG9tZBea24 | 1Z3Fzieg2fTJozfjaEhFAECW4Nhpepsa8 | 19t8ekke5rMBk5vFHgZEXGdWeWq8Eh74g8 | 1L7mFYrM1Ehvca2QfVtNG8Wq6myDDjuHHv | 1BYJagWeHL1Gh4yeEZFZABnPcQaTTngaqC | 1EFkg6caLJQvUhDNiAkdWW5Zrz5gWG4y2f | 1H59b4RTGi1ZsqSehAvV6wvhhQRH3yEqNX | 1EsTaq4qMLDMpudMi7y5eGU1AQMxixouo2 | 1N9bypNTKDAfteJGYGBVPZddys8qHHcL1N | 1G3NVEeczPkycHKG8gEbN6k2vASpeRijtZ | 1D9cBChY8ScmpmXfMKbn7kkNrqNGWCif5b | 1HYYQHJVW9ZHAqBAiGFDgqdwZxzFPJGrUs | 1MB5iazJBFKc9vLZ9Q3qfb3vsZPt86uJD9 | 1N36ALhVgZXAZHTtjsUJM3SwB1QoG4gLp2 | 19Pw8kcksKicrvERVXy6KtaogEg99zcWQS | 1AdU3Zm2wJSuj1WRNbbp5gYYXqEh6rj1qU | 1LJdGpzmudwkSN2DKDhKmn4rPCBmy7iv7W
4926,2009-02-19 23:50:35.000000 UTC,b52953f7104aa6ffab9391578fc34279ce221700acb2257859657b2901987c63,16,1,800,800,0,800.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,15jE6Zez6XEnQ1PjjmbD8G5F4y1Uw7YoBd | 1N4NoZsDqbdm9s1A5AFL246duFLm2vu672 | 122acrcc74diGrtY6RfpbSs5gMpTUuGMYn | 1L8R7hSxsMhNvUZJN66kkujCsbfqkemg9t | 14USGb4mSarP1SvZd6nCecJjs5HcxupRHn | 1BTT1iADguaekBbEFu5MHr46bYis8qmKR | 14eM3jd3jLSwR4UsW6qKurejGnePkCnkRv | 1LNkG5BWKBxava17qhK2Y1BFMEWHZnB5PQ | 1LdtNmahVqjwanKE8RyHK9jsMC4qDrG9Rm | 1Pk69vJ4TkqduQ8JhdziCAb7QmFqeZyuMu | 17gFgP7VH3dvRfegD1LbfuKDzvpU9bQ8zG | 17hVuDmYGw8GRHRp8Jft7B6bW3FcipaY35 | 1E3ebvgdpcUfNUYLD2bAhGc2Gnvt2go5E5 | 1KeascwPZj6zvBTtTY7ZADNRLiGw7cXzPL | 13awze16kkdfaPaQCKkNUvpMdp5oC51VqT | 1NR9njogeHd1VAeUz5tBtrbUEbkHJ2d9Wm
5217,2009-02-22 10:32:25.000000 UTC,9fa5efd12e4bdba914bf1acd03981c6e31eabaa8a8bd85fc2be36afe5a787c06,4,1,200,200,0,200.00000000,1KNbLi88guJMmEjDfi2bfRu7paKJvKUo5A,1N2n4QmwvN7XVtvo1r5diNiKKdudBWXTFt | 1CunnTGVXASBSYFSFDauzMGq7s2EP73Kg9 | 1BxMsLrkfxgWqAWPzB9oWbhNHcjdNEZZzB | 1JarbYXHxTCwYZGSbzSib4Gfyp3VZnZusF
5217,2009-02-22 10:32:25.000000 UTC,bea2f18440827950003bfcc130d0a82ebff013cec3848cdc8cb1c06e15672333,1,1,50,50,0,50.00000000,16B4L9Cr5U5jvTPtXWSBB9F96pETrkgRcL,13DuLyxajWmwwsg63iZUFWKXRtQMuSDhtz
5219,2009-02-22 10:50:53.000000 UTC,0af02f1ec03ed31d187c4184fe56b889d92b1def2310681f43ec1a0d84365273,5,1,400,400,0,400.00000000,1G2Sbv2oDGPiSWQ8XammxBSiFRukwrAah7,1KNbLi88guJMmEjDfi2bfRu7paKJvKUo5A | 19kZpHcrFUMgfT3Gdv6VP5PWDsko6WB1GX | 1AtEFkW7v3XvsAsqoKrvoE1zi8edfmLETK | 16B4L9Cr5U5jvTPtXWSBB9F96pETrkgRcL | 1GcEifCQ8QJ5j9vzbNuhDHyBdNxTgieSio
5219,2009-02-22 10:50:53.000000 UTC,0f0fbcc18fd0d090ad3402574df8404cec1176bc000f9aa0dc19f8d832ff94db,1,1,400,400,0,400.00000000,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,1G2Sbv2oDGPiSWQ8XammxBSiFRukwrAah7
5807,2009-02-27 19:49:03.000000 UTC,cce68eb6b57daed6011d10bb717be3a9616153aca1dc785d33a0e7a7c96d9b11,36,1,1800,1800,0,1800.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1DMmsG639QERQhpy7TrXvnBbsRHpWFskdR | 1GGGd9xv6U5mtBvaynpFntVsmhMHQeGZQF | 1E5Ev2qKbadGm3hkWi8NdGFfMWbHBvpSxp | 1PGCaMxiSzPz7ik4quv9C2PeftCosNgQU | 1HdDCMp1Skstgc95gwRFioXcoKiaMukoi | 13SDF7iwvLAN2p7R2P47nSMJRbrbsFeibZ | 1Hoagem397FdkKCMGbqyUg959kFY56BiYD | 1BZ59U5EkcZtwM2w3MGwxcC7c7YqU9cFZh | 1mKhgDQNc4jJsWNegtEGTEm2NV4PToK11 | 13q9iTJTxoWdVgWjd7cUGgaxEQ8Ceu59m5 | 15D8pE36nma31nNz2F3w7N369yT5nbfRER | 1C8PSrCTNR1XFYDNoYh7DW19nhNhbTQpCh | 1C4x3rRZggcFNRVe4uvE14tKyRNHoZyvyJ | 19nRaJKQU73rVDe3q6gJqQiUMwtyCdxQbb | 15QqvnRXqpvxVu7mgSWHPbAEBMx9KWyLX3 | 1CJeJmkJofLQ96V4m7kYwxgoBA6dmFRhPt | 17B7aFu7NnoyFFvyE37iqNCX2EcKVWeAFx | 1MKqxZPJCpYQxhwjXU6EKk4NFKDjzcRWNb | 1HptjvcKrkwe4nN4kFgnYVrnJju4vTWZRu | 13o2qaN3W4fAo3Vm92CJmTCEEXsgWaPiEm | 1AaqyNyYGCtuk9JuSKuXMSjtfXkmSdB25r | 1PMm4YA9JikEGs5Tpbxr3tqTr69eruWwLU | 1F6zqXd7ffGfJnXjEwj5bLSzwqoahdsLK3 | 129C2XFmgjVkRxMnNDVVF5H5fb9NNFQ1Xo | 1yZWQYuFhAn84dZS7bqGwvCgRcuD2eMCn | 16QRaPkkpYHyTbW4jVJ9c8s25L7ArHxJiH | 1CmDVN5uUuPbuwyQ2jefP3tdPQrQ7emBTz | 15uwBsdAqMedRs8KBqbsJUx7ktNLJ2jgQ2 | 1qviAPm8EKEktnn2Gtkb8K7eYL9k9x1uj | 18hE4MYQcKFB4ZdoqZ9gzwBzrwvjGDV61L | 1bBBrQgchoEGhqT7WcDFkjQLnyZUESS5N | 15KNyG66L4U9MYsw11UimFKtifd6HYqRN8 | 12p5ffZSz8xrjXWT5xpALsCfigNoVgpwyF | 1EppuxmBGGWzjKsQ9Nh7yQnMxMp8fWWyJZ | 18pyCChGgU4tQKNfCccf4X5UT2GP1ZKJGr | 1Lo81NrLgMU8USNxkMSfcXhKhW45EARS6X
5917,2009-02-28 22:13:34.000000 UTC,1ecd272fc854e5a1a241431411aad6e3aa74e77942b9a7c54c5c732eaf9732a1,7,1,350,350,0,350.00000000,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,1AcrnRZEa2XFBkihsW7aGfQ9J8DKY4mUmX | 16yv9zYi4msBCf35uWoGtAZD4mbyzRKCWr | 1F2pJPVbpF8ZS6eEA9pme7jko1o3Xugji8 | 1FWMqCravjFJKsN4SpCGUgCyNUfWdsSRaj | 1J5tM9vbX1VGMxQKX9Pi8HBLP72qWKXgow | 1AttsCkpM4nRgBfxfnYNma3hioCThGaoY | 16W92UXf4Ate1cSKo1X8AvuBoqKgC6pJgH
6156,2009-03-03 04:24:25.000000 UTC,2d7d4385db1b1c5f809931ccea31c76fdcbcc82ba81d15713b30e8aa03de82b5,5,1,250,250,0,250.00000000,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,15XCNtifYkTMW5KqNU877MHtaB5YpbzFnd | 1PqLpZjTj5MAYU85qvdK5xHH92bpdXgx34 | 1CH2Zdxs5mEvreoexcaJCBTkfkTFDtpPFi | 1FK4tAyRr2VzanoGCFZf5mYfKjiYZzzKj9 | 1FNoDLf1JAExBqqUbrH26Urax763jVqTu6
6156,2009-03-03 04:24:25.000000 UTC,2e8fa683ff6777b929d38d119dc7c1e15b6a6e78629487775c659fa53765498f,3,1,150,150,0,150.00000000,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,182VpquAsnVE2Y69Ac89gTBT46VePargZ4 | 1MQMXHK4orB9Qdc976md9BpkWwatfBgDDh | 16QJWbGGa5gCJqiph4XD9UQtb9XZ5nA9bA
6327,2009-03-04 19:28:11.000000 UTC,93010741e990f05723f4667a3ae7adcbdb220537dc6909580b1443c34c4bf3df,24,1,1200,1200,0,1200.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1nkEKjGXgsDvcDABcJ44qujD22cTrGDaS | 1AwZZYoSMpmSFBiBRZWtVkPeTSGQwxf18d | 1NkatgQTARqL97kjfgrwxQGq9NB6a9524M | 16JmerBwo7FetH3Xqkewa7ozaU4FPFYmWp | 15HTSrdNK6xTigmHmAVxPe9NVv2BzAacT8 | 1BNP5cQzMmJoZSK7qbXfUnuPouwuExbZa4 | 14gGyYgK7hKHgTkBNcGsurCMdrdFWFs1MT | 1J28f6UrfqAV2sYdabJDdrKHJNPqZHxrGH | 1FSfsUqZp5PwF76vn2mnfveFLucaCz2Ur4 | 1CTSZSAL2nmBrnDVSZ6aoRrDXnscmxqTNW | 18fjQ7CXGM4LRRs5DSgAt7ES529UWePk1n | 14kmfA8kzrWLJ41ijyyMuqXoCeKAx5HrhW | 15fFuVEe7x8V1Acxnp74XQf5j942EUqHJU | 15bNpvnhh5fnuqGMHhKN4K8Y8oQYVMXEBh | 13pYoHZrdCdjccTBXdXqcCRWYgg7zM7EbE | 163qP7Rx8n2y4udNkum7Gi6HMSJN7cM6XS | 1JhPM7aGS6FZDBegbCwCvtzPW44LhA9Zbp | 1ECTFTCaUZ7fvNHKwwN7EEd6CJYvF1FRwX | 13Gtket9np9cbzw35PDiGC2RmQHmb5Zj8E | 1MDBahoHqhdAeoxkusntbwZ5vvou2M3s5J | 1MHXDCdhZnnG4iAbYE1s1bthRAnfUAWNLE | 16NpVm2k7FBxFzTitkLtzCZoSzsnk2tdtM | 16MU3EVtAebNjvk3ihBJHiqc84rGAMp4Zw | 12zUctUWWWFWi4X8S3QwpqeiVe5HGiTu4G
6343,2009-03-04 23:29:22.000000 UTC,fac995ec5fdbb948c10aba4762c78663c38c312f43fcb91551b5770b6794bf67,1,2,50,50,0,0.33000000 | 49.67000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv | 124wRWVmAkRejjv6aPuF3B4qi5ww4uYKLy,124wRWVmAkRejjv6aPuF3B4qi5ww4uYKLy
6456,2009-03-05 23:50:07.000000 UTC,cdbeb55fd9895a5409f6bc19608fa51cc7b2aca9d068e5908da27003c60f6970,8,1,400,400,0,400.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1AyEj3LukJoWkmFnvyrAyEuefyP9Z4XpCK | 1376GqPFxqNJfkPGJWjrPb3xdVq4m4Uoiw | 1AQqJ5i3efJbD9vrp2FnfCz3bwM7pFM8K9 | 1NZDEeS9gLrSFPCzVXqpB8Tq2ngDDgmYLe | 15QY1Nh2JVhAnNrcnY6LHEfdFnpMipqbSL | 1GUEV1hmvnD3zeUBNMcwsn96wgmeQbJQ4N | 1DGzbJbTNWbXinDasreiqv4vugYdfhtnLE | 1HJWVdtfSuQAaHnifosi4ExCnPwsoUuNDY
6764,2009-03-08 17:14:52.000000 UTC,accd1171781ff942b496cc67184bdfbdac6cbb4b0ebc4559f07830a89c2d7e5e,1,1,50,50,0,50.00000000,1L55MZRkGSmKJH9XLsHxEyaY2ndWERmwps,12d2XXfBBMLiGK7HJfnuf26nS4prtmBzSx
6764,2009-03-08 17:14:52.000000 UTC,d7374c9a35997bd4fffb7cc089e6e2b22c5ee9f6019dc0fc881cc8b02e45b10b,6,1,300,300,0,300.00000000,16NB2rGfdV8sq12oBC3bXTvvVzZiqvzo8Y,1Lx1JLY9JYCc5JSAqKABmtX2msJWXRGMJp | 1PcVSf9U9mYKPYxtkVU6LRXLDBeqB3JUuC | 19P1ynmHA67Ss9kiVcG7z2oppnoQ7r9VQG | 1KeSxBmdeY6p7vimVKcYzUsVViDjzx3qDZ | 1K5D92GiZhn1QHWvvKwtzaRWVmYWbpfJaJ | 174ucaqYNYWGwwSwwXRrK5E4MX7KnNCsWg
6766,2009-03-08 17:46:42.000000 UTC,21fdd809c34dd0162c28834f8357ec1f698b1df49744731c22f43aaec85ab64a,19,1,1200,1200,0,1200.00000000,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,16NB2rGfdV8sq12oBC3bXTvvVzZiqvzo8Y | 18K6hkAui3ZQqQudbFmRHyTXycF3wEBuDE | 1PaWtL4Nqm7VkVy6VHnEFujD2EXL3XugN | 1FyLtpZ9qfBWrA2YnTSaFsbKaLezboaMWZ | 1BCpP6Q4W2zLFaJZYteKGF4WsYpg4FbmaL | 1An84DZvBkeJ5kziQakU81MRWXLBU4MzVm | 1L55MZRkGSmKJH9XLsHxEyaY2ndWERmwps | 1FkF7W9DdrPYXpqDWpX8idhC4YGq5pgak2 | 12VvDR4VkhvbReFgCazkW1VpVVcBX87Kbo | 1HaDTJX59KFUbofSoULvwQ9b9poaxqTxA1 | 1DiyZZS37c3mVsrF5Bjxkkm7njp7cxMkqg | 1AVEc4JwQrooF8zhJCsMaAM6TrjGFdRcJi | 13dmmNEWD4n52e5Hr5Vhqpeg55PKiw63bd | 1MvNXELrMwEKNpk8qQJtW6HNJHofHbpyYh | 14L38V84w4vcHWbDrwcmKMmx6Q79cRWz9f | 12fHiiG24civ3vX78qkQEmVJAHAGUe3Da8 | 15ZyZuu8iGp4cst2681pNt3R53bMnNnRFr | 1F1AA2WUeLHSZAzREmkcdDjRxcgMaGu1hR | 13s7UCrW2KU1j4G4mtSBkJrzpTrQ9ynxt8
7178,2009-03-12 10:48:54.000000 UTC,6a697d4ea52e2cb3f9c176fd2f3014f550bc0e8b4ed8e47588819535b99a39df,3,1,150,150,0,150.00000000,1CECPFgz4fJSEndbFT1QyR8hKyt5RitL2k,1Cay6m8mMu5xMHEmpacGQ4jPDZyxDotN3g | 1PeuSubs2kUjZCngC2Lm8RWtZsP9hGoCas | 1FPLNH389uu81V11em7sknNJQ4yqaJykQD
