block_number,block_timestamp,txid,input_count,output_count,in_btc,out_btc,fee_btc,outputs_btc,out_addresses,in_addresses
593,2009-01-15 15:51:56.000000 UTC,e36f06a8dfe44c3d64be2d3fe56c77f91f6a39da4a5ffc086ecb5db9664e8583,1,2,50,50,0,25.00000000 | 25.00000000,1LEWwJkDj8xriE87ALzQYcHjTmD8aqDj1f | 153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g,153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g
707,2009-01-16 13:51:46.000000 UTC,5439c37c4c6dad4ad93b1d5598d57f1aace9d0f68b892236da903b3f136451a1,2,1,100,100,0,100.00000000,133fZZzNNbHL5VSuCWrUkLW2oL9ZPJELbY,132aSc15WmoPwtMbqRVzouZKNnjWL1YTVb | 17oofDoUGPaTi7xEP3StP1sU1YxEMDfQa6
728,2009-01-16 19:18:35.000000 UTC,6f7cf9580f1c2dfb3c4d5d043cdbb128c640e3f20161245aa7372e9666168516,2,1,100,100,0,100.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1Miuw7ifaTYY5qrzKYFcTDiojSFxRfAqwP | 18KrJNtPVu6LWRNPQReqF29iFm7vDhirMk
943,2009-01-18 20:02:59.000000 UTC,3e4cc1f71c998d080528ae305dffcc01419851e0d7b5191edfada9528625bff6,3,1,150,150,0,150.00000000,1C16qVq3kZpfjCXAKvrrppqxNmRcnfbFdu,1CpZmPEGBbH7gUsM1xS31CvaKDE92EiiKg | 1NyD2gM5qcGCRKmuJK7gUUqcQMrUFQRZQz | 1BGnWwafsPsHo11opJGVbJdLADxakwZoAD
1055,2009-01-19 19:00:42.000000 UTC,8897ea9ceaf18a546cdc513b9179bae31a462ee5bf47818eb7ba909082d11777,10,1,500,500,0,500.00000000,15oUEZFKAC8E8BTLt1s1jx4fPxumwB3ecr,1xgLCvWYJGuCxqPunbBiUxmSKLDwxZeu5 | 17c6L9JUGVenn6CfqXuB93L3Tk8Tbzefui | 1LtEkbFPkXouhn9uUyYbaGwUEF4AUazuR5 | 17k3Gr1KM16X5cQ5VCp7sBmw12Gh9bpL6m | 1CrnUia9wfeNFbdwKJNj89YqA6qetvYTTE | 1L9kYwPr6SWvp8zsxvJARHt4UUVk51WQcf | 1PxUJBokfT8Cn1pizWYeJpbpm9To4HwRHr | 1DayUvccL8WV7zjkn26aC3M4hwGwJFyFw4 | 17jkFTQuYaGssazzqZ6CTHgRVQYRgLmf34 | 15fLMPJUAyiuc28gscdmRnVu1zUC1TXHtz
1056,2009-01-19 19:12:52.000000 UTC,90ff15e5a80593977fb2f6666de2860584d39ebc3a41f65a0a1fdc3a851aefda,6,1,275,275,0,275.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1PEsXxy7kVSPL3Sqw9q4HPkbM368tGTYcx | 1C1QnL6oZqiRmKgaTm8XZbHccwupvJsAwG | 153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g | 1JCNTEzhK5J8dPhhsnarS3UeQe7rxgmZig | 17C8uaaknVNSfGM6eeaZQzrrEuhveQPirv | 1Fz1PZ4m2PykPasegmG3oWNXTu837Buu8T
1184,2009-01-20 21:53:12.000000 UTC,c445fc181b4570fa107006f31c68132df2df84160f6dc783a21e10f4497e3589,8,1,400,400,0,400.00000000,1FBgZPF9ceV7JFDgvWzwJdPjdn6VFJqc5s,1PD7u8S27HS3PcY6ZKAM897RQLK5rx87wq | 1ajo3LNjjNWK7GMJwa71tcR3Mk6roeaS9 | 1PmxdAq9UdYqB8TL45asUeV4PxTLiTuNiw | 1JV9ZQX6cCd4YrUtHHQm9iDL6cMxP3oQ3J | 1MxQgXvgUuSj7ScRwuJ3p4t9rstnd3NqFv | 1JjyaJhj7gM1BDPjkKvNPp6zGQodneSRzW | 12oAMNsu5qmzpcafSKJMYxnPCyaYxui4sp | 1LH3y6VPnF1KcPhxLSJ3eJ3NHvXWSaysAr
1213,2009-01-21 04:06:22.000000 UTC,7f1f0cbd84a06c073c3164b463eda189fe3f98a9744e553380c23e41d6125c60,2,1,100,100,0,100.00000000,18L8V7DaFBjAbzF5rzmZqCym31KAbjDQXC,1QNzY4rFXUrigUtbuvPu7wsKvHsDQKv86 | 16HRfyssnLAtnpWG8pnGJdGgNpXtKW78Yw
1296,2009-01-22 00:05:34.000000 UTC,59bf8acbc9d60dfae841abecc3882b4181f2bdd8ac6c1d94001165ab3aef50b0,10,1,500,500,0,500.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,12V3D1ytYGZgYTgmuNh8JLAiKMF9chUoDd | 1CsZEWqUk95GggXg1mvxP6qWv95bCvVaZs | 19NaaYCw1UBQd2gFfc77bKnVesA5d7fFzM | 15Eto1LeCTkZGkPwr3H2BS8Nu1yadfeEH8 | 1qvpfJXzAzKJvkbBFRVEtNZw6yU31orDL | 1HG3byV85t3wiZ4uazZJvntRQT2Rmw4rbm | 1Ktq4ujHAwk8Utk1AGzCCq2aFBRbdkMeh7 | 1HaEeDfAWeo4hopjYMAx1At75uhY614C9X | 1DGgqqQHfwGX28FzenC2DgqX2fzgU99urQ | 19QiFoYFBf8bo6STnvdCD21ASskDGkpaSQ
1389,2009-01-23 03:49:40.000000 UTC,1eb6633edc85119d120bce6d484557571ab00b5e538de09fe2e21b58e9986528,3,1,150,150,0,150.00000000,1EQkvhEsewdmDuvNTSgvYafu79F8Q4B3CW,12VKdj1La4fnqX7qTQPfPwm9McBxtmtSsG | 1GHH9T1zinmfy8VqYcSuZP7qtCkGSPR44V | 19oF5fxNiUDMr7FyZzyZhz9TxDdKGGkqUW
